Date	FinalDate	Value
2017-01-06	2017-01-06	141.92
2017-01-06	2017-02-08	125
2017-01-06	2017-03-08	132.627118644068
2017-01-06	2017-04-10	132.627118644068
2017-01-09	2017-01-09	102.74
2017-01-09	2017-02-08	135
2017-01-09	2017-03-08	135
2017-01-09	2017-04-10	135
2017-01-10	2017-01-10	102.74
2017-01-10	2017-02-08	130
2017-01-10	2017-03-08	130
2017-01-10	2017-04-10	130
2017-01-10	2018-02-08	150
2017-01-10	2018-03-08	150
2017-01-10	2018-04-09	150
2017-01-10	2018-05-09	150
2017-01-10	2018-06-08	150
2017-01-10	2018-07-09	150
2017-01-10	2018-08-08	150
2017-01-10	2018-09-11	150
2017-01-10	2018-10-08	150
2017-01-10	2018-11-09	150
2017-01-10	2018-12-10	150
2017-01-10	2019-01-09	150
2017-01-12	2017-01-12	102.74
2017-01-12	2017-02-08	133.1
2017-01-12	2017-03-08	133.1
2017-01-12	2017-04-10	133.1
2017-01-12	2017-05-09	133.1
2017-01-12	2017-06-08	155
2017-01-12	2017-07-10	155
2017-01-12	2017-08-08	155
2017-01-12	2017-09-11	155
2017-01-12	2017-10-09	155
2017-01-12	2017-11-09	155
2017-01-12	2017-12-08	155
2017-01-12	2018-01-09	155
2017-01-16	2017-01-16	129.52
2017-01-16	2017-06-08	155
2017-01-16	2017-07-10	155
2017-01-16	2017-08-08	155
2017-01-16	2017-09-11	155
2017-01-16	2017-10-09	155
2017-01-16	2017-11-09	155
2017-01-16	2017-12-08	155
2017-01-16	2018-01-09	155
2017-01-17	2017-01-17	129.52
2017-01-17	2017-02-08	127
2017-01-17	2017-03-08	127
2017-01-17	2017-04-10	127
2017-01-18	2017-01-18	129.52
2017-01-18	2017-03-08	119.8
2017-01-18	2017-04-10	120.280769230769
2017-01-19	2017-01-19	129.52
2017-01-19	2017-03-08	124
2017-01-19	2017-05-09	126
2017-01-23	2017-01-23	131.27
2017-01-23	2017-02-08	124.129032258065
2017-01-23	2017-03-08	108
2017-01-23	2017-04-10	118
2017-01-24	2017-01-24	131.27
2017-01-24	2017-03-08	109.5
2017-01-27	2017-01-27	131.27
2017-01-27	2017-04-10	119
2017-01-30	2017-01-30	101.31
2017-01-30	2017-05-09	122
2017-01-31	2017-01-31	101.31
2017-01-31	2017-05-09	121
2017-02-01	2017-02-01	101.31
2017-02-01	2017-05-09	120
2017-02-01	2017-06-08	156
2017-02-01	2017-07-10	156
2017-02-01	2017-08-08	156
2017-02-01	2017-09-11	156
2017-02-01	2017-10-09	156
2017-02-01	2017-11-09	156
2017-02-01	2017-12-08	156
2017-02-01	2018-01-09	156
2017-02-02	2017-02-02	101.31
2017-02-02	2017-03-08	115
2017-02-07	2017-02-07	112.71
2017-02-07	2017-06-08	162
2017-02-07	2017-07-10	162
2017-02-07	2017-08-08	162
2017-02-07	2017-09-11	162
2017-02-07	2017-10-09	162
2017-02-07	2017-11-09	162
2017-02-07	2017-12-08	162
2017-02-07	2018-01-09	162
2017-02-08	2017-02-08	112.71
2017-02-08	2017-03-08	121
2017-02-09	2017-02-09	112.71
2017-02-09	2017-06-08	178
2017-02-09	2017-07-10	178
2017-02-09	2017-08-08	178
2017-02-09	2017-09-11	178
2017-02-09	2017-10-09	178
2017-02-09	2017-11-09	178
2017-02-09	2017-12-08	178
2017-02-09	2018-01-09	178
2017-02-10	2017-02-10	112.71
2017-02-10	2017-04-10	138.6
2017-02-10	2017-06-08	170.01
2017-02-10	2017-07-10	170.01
2017-02-10	2017-08-08	170.01
2017-02-10	2017-09-11	170.01
2017-02-10	2017-10-09	170.01
2017-02-10	2017-11-09	170.01
2017-02-10	2017-12-08	170.01
2017-02-10	2018-01-09	170.01
2017-02-13	2017-02-13	122.27
2017-02-13	2017-03-08	121.714285714286
2017-02-13	2017-04-10	152.375
2017-02-13	2017-05-09	150
2017-02-14	2017-02-14	122.27
2017-02-14	2017-03-08	122
2017-02-15	2017-02-15	122.27
2017-02-15	2017-03-08	122.8
2017-02-16	2017-02-16	122.27
2017-02-16	2017-03-08	122.5
2017-02-17	2017-02-17	122.27
2017-02-17	2017-04-10	160.333333333333
2017-02-17	2017-05-09	154.4
2017-02-20	2017-02-20	133.87
2017-02-20	2017-04-10	164
2017-02-20	2017-05-09	158
2017-02-20	2017-06-08	205
2017-02-20	2017-07-10	205
2017-02-20	2017-08-08	186.358695652174
2017-02-20	2017-09-11	186.358695652174
2017-02-20	2017-10-09	186.358695652174
2017-02-20	2017-11-09	186.358695652174
2017-02-20	2017-12-08	186.358695652174
2017-02-20	2018-01-09	186.358695652174
2017-02-21	2017-02-21	133.87
2017-02-21	2017-04-10	165.6
2017-02-21	2017-05-09	162
2017-02-22	2017-02-22	133.87
2017-02-22	2017-04-10	168
2017-02-23	2017-02-23	133.87
2017-02-23	2017-04-10	167.5
2017-02-23	2017-05-09	162
2017-02-23	2017-06-08	190
2017-02-23	2017-07-10	190
2017-02-23	2017-08-08	190
2017-02-23	2017-09-11	190
2017-02-23	2017-10-09	190
2017-02-23	2017-11-09	190
2017-02-23	2017-12-08	190
2017-02-23	2018-01-09	190
2017-02-24	2017-02-24	133.87
2017-02-24	2017-04-10	176.785
2017-02-24	2017-05-09	164.75
2017-02-24	2017-06-08	218.407494145199
2017-02-24	2017-07-10	218.407494145199
2017-02-24	2017-08-08	188.571428571429
2017-02-24	2017-09-11	188.571428571429
2017-02-24	2017-10-09	188.571428571429
2017-02-24	2017-11-09	188.571428571429
2017-02-24	2017-12-08	188.571428571429
2017-02-24	2018-01-09	188.571428571429
2017-03-02	2017-03-02	185.54
2017-03-02	2017-04-10	185
2017-03-02	2017-05-09	180
2017-03-02	2017-06-08	198
2017-03-02	2017-07-10	198
2017-03-02	2017-08-08	198
2017-03-02	2017-09-11	198
2017-03-02	2017-10-09	198
2017-03-02	2017-11-09	198
2017-03-02	2017-12-08	198
2017-03-02	2018-01-09	198
2017-03-03	2017-03-03	185.54
2017-03-03	2017-04-10	190
2017-03-03	2017-06-08	202
2017-03-03	2017-07-10	202
2017-03-03	2017-08-08	202
2017-03-03	2017-09-11	202
2017-03-03	2017-10-09	202
2017-03-03	2017-11-09	202
2017-03-03	2017-12-08	202
2017-03-03	2018-01-09	202
2017-03-06	2017-03-06	186.8
2017-03-06	2017-06-08	202.25
2017-03-06	2017-07-10	202.25
2017-03-06	2017-08-08	202.25
2017-03-06	2017-09-11	202.25
2017-03-06	2017-10-09	202.25
2017-03-06	2017-11-09	202.25
2017-03-06	2017-12-08	202.25
2017-03-06	2018-01-09	202.25
2017-03-07	2017-03-07	186.8
2017-03-07	2018-02-08	175
2017-03-07	2018-03-08	175
2017-03-07	2018-04-09	175
2017-03-07	2018-05-09	175
2017-03-07	2018-06-08	175
2017-03-07	2018-07-09	175
2017-03-07	2018-08-08	175
2017-03-07	2018-09-11	175
2017-03-07	2018-10-08	175
2017-03-07	2018-11-09	175
2017-03-07	2018-12-10	175
2017-03-07	2019-01-09	175
2017-03-08	2017-03-08	186.8
2017-03-08	2017-05-09	210
2017-03-08	2017-06-08	223.016393442623
2017-03-08	2017-07-10	223.016393442623
2017-03-08	2017-08-08	219
2017-03-08	2017-09-11	219
2017-03-08	2017-10-09	219
2017-03-08	2017-11-09	219
2017-03-08	2017-12-08	219
2017-03-08	2018-01-09	219
2017-03-09	2017-03-09	186.8
2017-03-09	2017-04-10	205
2017-03-09	2017-05-09	227
2017-03-09	2017-06-08	275
2017-03-09	2017-07-10	277.5
2017-03-09	2017-08-08	232.5
2017-03-09	2017-09-11	232.5
2017-03-09	2017-10-09	232.5
2017-03-09	2017-11-09	232.5
2017-03-09	2017-12-08	232.5
2017-03-09	2018-01-09	232.5
2017-03-10	2017-03-10	186.8
2017-03-10	2017-05-09	267.65
2017-03-10	2017-06-08	275.645161290323
2017-03-10	2017-07-10	300
2017-03-10	2017-08-08	257.5
2017-03-10	2017-09-11	257.5
2017-03-10	2017-10-09	257.5
2017-03-10	2017-11-09	257.5
2017-03-10	2017-12-08	257.5
2017-03-10	2018-01-09	257.5
2017-03-13	2017-03-13	241.4
2017-03-13	2017-05-09	234
2017-03-14	2017-03-14	241.4
2017-03-14	2017-05-09	205.5
2017-03-14	2017-06-08	224.5
2017-03-14	2017-07-10	224.5
2017-03-14	2017-08-08	224.5
2017-03-14	2017-09-11	224.5
2017-03-14	2017-10-09	224.5
2017-03-14	2017-11-09	224.5
2017-03-14	2017-12-08	224.5
2017-03-14	2018-01-09	224.5
2017-03-15	2017-03-15	241.4
2017-03-15	2017-05-09	214
2017-03-16	2017-03-16	241.4
2017-03-16	2017-04-10	212
2017-03-16	2017-06-08	230.372093023256
2017-03-16	2017-07-10	260
2017-03-16	2017-08-08	230.372093023256
2017-03-16	2017-09-11	230.372093023256
2017-03-16	2017-10-09	230.372093023256
2017-03-16	2017-11-09	230.372093023256
2017-03-16	2017-12-08	230.372093023256
2017-03-16	2018-01-09	230.372093023256
2017-03-17	2017-03-17	241.4
2017-03-17	2017-05-09	234.3125
2017-03-17	2017-06-08	236
2017-03-17	2017-07-10	236
2017-03-17	2017-08-08	236
2017-03-17	2017-09-11	236
2017-03-17	2017-10-09	236
2017-03-17	2017-11-09	236
2017-03-17	2017-12-08	236
2017-03-17	2018-01-09	236
2017-03-20	2017-03-20	221.31
2017-03-20	2017-05-09	240
2017-03-21	2017-03-21	221.31
2017-03-21	2017-04-10	211
2017-03-21	2017-05-09	242
2017-03-21	2021-02-08	140
2017-03-21	2021-03-08	140
2017-03-21	2021-04-09	140
2017-03-21	2021-05-10	140
2017-03-21	2021-06-09	140
2017-03-21	2021-07-08	140
2017-03-21	2021-08-09	140
2017-03-21	2021-09-09	140
2017-03-21	2021-10-08	140
2017-03-21	2021-11-09	140
2017-03-21	2021-12-08	140
2017-03-21	2022-01-10	140
2017-03-22	2017-03-22	221.31
2017-03-22	2017-05-09	240
2017-03-23	2017-03-23	221.31
2017-03-23	2017-05-09	229.429047619048
2017-03-23	2017-07-10	285
2017-03-24	2017-03-24	221.31
2017-03-24	2017-05-09	234.75
2017-03-27	2017-03-27	238.83
2017-03-27	2017-04-10	208.833333333333
2017-03-27	2017-05-09	249
2017-03-28	2017-03-28	238.83
2017-03-28	2017-05-09	279.2
2017-03-28	2017-06-08	314
2017-03-28	2017-07-10	310
2017-03-28	2017-08-08	238.5
2017-03-28	2017-09-11	238.5
2017-03-28	2017-10-09	238.5
2017-03-28	2017-11-09	238.5
2017-03-28	2017-12-08	238.5
2017-03-28	2018-01-09	238.5
2017-03-29	2017-03-29	238.83
2017-03-29	2017-05-09	289.083333333333
2017-03-30	2017-03-30	238.83
2017-03-30	2017-05-09	335.938512869399
2017-03-30	2017-06-08	352.652173913044
2017-03-30	2017-07-10	329.857142857143
2017-03-30	2017-08-08	244.5
2017-03-30	2017-09-11	244.5
2017-03-30	2017-10-09	244.5
2017-03-30	2017-11-09	244.5
2017-03-30	2017-12-08	244.5
2017-03-30	2018-01-09	244.5
2017-03-31	2017-03-31	238.83
2017-03-31	2017-05-09	385
2017-03-31	2017-06-08	288
2017-03-31	2017-07-10	288
2017-03-31	2017-08-08	288
2017-03-31	2017-09-11	288
2017-03-31	2017-10-09	288
2017-03-31	2017-11-09	288
2017-03-31	2017-12-08	288
2017-03-31	2018-01-09	288
2017-04-04	2017-04-04	431.99
2017-04-04	2017-05-09	380
2017-04-05	2017-04-05	431.99
2017-04-05	2017-08-08	255
2017-04-05	2017-09-11	255
2017-04-05	2017-10-09	255
2017-04-05	2017-11-09	255
2017-04-05	2017-12-08	255
2017-04-05	2018-01-09	255
2017-04-06	2017-04-06	431.99
2017-04-06	2017-05-09	305
2017-04-06	2017-06-08	305
2017-04-06	2017-07-10	305
2017-04-06	2017-08-08	305
2017-04-06	2017-09-11	305
2017-04-06	2017-10-09	305
2017-04-06	2017-11-09	305
2017-04-06	2017-12-08	305
2017-04-06	2018-01-09	305
2017-04-07	2017-04-07	431.99
2017-04-07	2017-05-09	365
2017-04-07	2017-06-08	290
2017-04-07	2017-07-10	290
2017-04-07	2017-08-08	290
2017-04-07	2017-09-11	290
2017-04-07	2017-10-09	290
2017-04-07	2017-11-09	290
2017-04-07	2017-12-08	290
2017-04-07	2018-01-09	290
2017-04-10	2017-04-10	362.02
